%% LaTeX2e file `Scalability_UF10.dat'
%% generated by the `filecontents' environment
%% from source `chacon-ieeetec-17' on 2019/01/25.
%%
X  mean MOEA_D NSGA_II R2_MOEA VSD_MOEA
1 50 0.2202970782 0.1353254423 0.3758549758 0.5013988243
2 100 0.2105766514 0.0668119491 0.3177157922 0.4051949139
3 250 0.214756007 0.0293856936 0.0001789489 0.422475629
4 500 0.0953235668 0.000355286 0 0.4597394552
5 1000 0.0455457067 0 0 0.0579703877
