X,mean,HV2obj,HV3obj
1,0,0.912,0.893
2,0.1,0.932,0.899
3,0.2,0.934,0.903
4,0.3,0.937,0.906
5,0.4,0.951,0.916
6,0.5,0.950,0.915
7,0.6,0.948,0.911
8,0.7,0.948,0.911
9,0.8,0.947,0.911
10,0.9,0.946,0.909
