X,mean,MOEA_D,NSGA_II,R2_MOEA,VSD_MOEA
1,50,0.3175818173,0.1353254423,0.3597176302,0.508878633995627
2,100,0.2516664621,0.0668119491,0.3571345829,0.472821640393125
3,250,0.2485744146,0.0293856936,0.3186798153,0.475358628463776
4,500,0.2199812497,0.000355286,0.3329763906,0.437487782338445
5,1000,0.0835664008,0,0.2956800457,0.052257794992545
