X,mean,MOEA_D,NSGA_II,R2_MOEA,VSD_MOEA
1,50,0.6973059992,0.8621267117,0.635772891,0.9902413274
2,100,0.6347050999,0.8826304986,0.6985566729,0.9902413127
3,250,0.6347051382,0.9242333295,0.6985627822,0.990241151
4,500,0.6764390187,0.9654625147,0.7194860424,0.9902359243
5,1000,0.6764389861,0.9859989297,0.7613452348,0.9853541053
