X,mean,MOEA_D,NSGA_II,R2_MOEA,VSD_MOEA,,,,
1,50,0.8800109639,0.8673872803,0.8953421362,0.895060765,0.3852018105,0.5218457968,0.4593343431,0.6032393374
2,100,0.8556992034,0.8489580932,0.8721274198,0.8787200341,0.1796328975,0.3031678294,0.2672123711,0.5356063164
3,250,0.8355802872,0.8363199303,0.8542935232,0.8594036788,0.0758721001,0.1611160063,0.0482993826,0.479757239
4,500,0.8174396644,0.8136237596,0.8507535858,0.8385283661,0.0571260243,0.0612446831,0.0048899656,0.3704921604
5,1000,0.7947449497,0.7728188038,0.8473915745,0.7987154204,0.0747862261,0.0565706676,0,0.2784368025
