X,mean_short,MOEA_D_short,CPDEA_short,R2_MOEA_short,VSD_MOEA_short,mean_middle,MOEA_D_middle,CPDEA_middle,R2_MOEA_middle,VSD_MOEA_middle,mean_long,MOEA_D_long,CPDEA_long,R2_MOEA_long,VSD_MOEA_long,mean_percent
1,300,0.6340168,0.3242555,0.5792868,0.2453264,2500,0.8189094,0.3683805,0.7745389,0.4185582,25000,0.8549862,0.4588723,0.8399496,0.5185074,10\%
2,500,0.7222686,0.3565213,0.6408397,0.3585918,5000,0.8420862,0.3860855,0.8072921,0.5040193,50000,0.8576475,0.4616936,0.8456578,0.591555,20\%
3,800,0.7494837,0.3690068,0.6963749,0.4503183,7500,0.84898,0.4129921,0.8129654,0.5888608,75000,0.858712,0.4622146,0.8471521,0.6981419,30\%
4,1000,0.7586299,0.3765363,0.7299854,0.5584984,10000,0.8527451,0.4246691,0.8205186,0.7209275,100000,0.8594822,0.463239,0.84876,0.8207613,40\%
5,1300,0.774809,0.3817336,0.73736,0.660902,12500,0.8534547,0.4314247,0.8259048,0.854463,125000,0.8601306,0.463849,0.8502695,0.908546,50\%
6,1500,0.7847803,0.5021979,0.7426004,0.7347819,15000,0.8537783,0.6745631,0.8297802,0.8821777,150000,0.8608702,0.7834403,0.8506556,0.920054,60\%
7,1800,0.7953311,0.5444002,0.7466608,0.783487,17500,0.8542966,0.7150746,0.832872,0.8899865,175000,0.8614788,0.7903761,0.8519801,0.9218119,70\%
8,2000,0.8023477,0.5687117,0.7560847,0.7959982,20000,0.8545151,0.7227081,0.835645,0.8950791,200000,0.8618874,0.7876359,0.8529791,0.9221775,80\%
9,2300,0.8096588,0.6016969,0.764328,0.8020172,22500,0.8547793,0.7259402,0.8380304,0.8987358,225000,0.8623471,0.7881316,0.8531453,0.9225913,90\%
10,2500,0.8188151,0.6321007,0.774516,0.8090384,25000,0.8549844,0.7284496,0.8399453,0.9015359,250000,0.862595,0.7875136,0.8532754,0.9229694,100\%
