X,mean,MOEA_D,NSGA_II,R2_MOEA,VSD_MOEA,,,,
1,50,0.685014331591541,0.875561530840125,0.697147718633298,0.929922539813576,0.6850143316,0.8755615308,0.7454783778,0.9299700543
2,100,0.749081169089375,0.86897556478651,0.735645370779438,0.930014456697223,0.7490811691,0.8689755648,0.8496142241,0.9300710321
3,250,0.791781550191933,0.856883146655486,0.74475777325797,0.929959247376971,0.7917815502,0.8568831467,0.8712414949,0.92986603
4,500,0.749068248253058,0.85493215840189,0.648058968064838,0.929821090729156,0.7490682483,0.8549321584,0.8931754131,0.9298984033
5,1000,0.770421783733496,0.845641490163401,0.088758829105414,0.89929453039876,0.7704217837,0.8456414902,0.9149132299,0.9243632885
